com.samsung.shealth.sleep,6306007,11
total_sleep_time_weight,original_efficiency,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,integrated_id,latency_weight,has_sleep_data,bedtime_detection_delay,sleep_efficiency_with_latency,wakeup_time_detection_delay,total_rem_duration,combined_id,nap_score,sleep_type,sleep_latency,data_version,latency_score,deep_weight,rem_weight,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,wake_weight,rem_score,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,total_sleep_time_score,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.client_data_id,com.samsung.health.sleep.client_data_ver,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,6.0,,17,17,4,0,4,67,66,0,0,,,,,0,960000,,600000,0,69d073e3-8e4c-485e-b865-862be39ad027,,-1,840000,9,,,,13.0,,13.0,,,,,,,,,0,46,93.0,45,67,2,,62720071,2024-11-04 03:41:00.000,,62810050,2024-11-04 04:58:06.816,2024-11-04 04:58:03.722,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-04 04:48:00.000,d8db437f-e2b0-4ec1-a4c6-e03de0a00faf,
,,90.0,,60,79,4,4,22,433,270,3,9,,,,,0,900000,,840000,92,,,-1,6000000,9,,,,92.0,,9.0,,,,,,,,,4,240,94.0,94,433,2,,62720071,2024-11-04 21:42:00.000,,62810050,2024-11-05 05:09:14.150,2024-11-05 05:09:03.838,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-05 04:55:00.000,a9682948-fbe0-469b-924e-96aaaf2cf9e2,
,,96.0,,16,85,1,2,9,396,63,0,0,,,,,0,900000,,1200000,126,,,-1,480000,9,,,,93.0,,4.0,,,,,,,,,4,176,97.0,92,396,2,,62800471,2024-11-05 22:02:00.000,,62810050,2024-11-06 05:00:32.015,2024-11-06 04:58:59.936,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-06 04:38:00.000,963d2b85-13f1-44e0-a8da-2c2c625e7d57,
,,95.0,,78,78,12,2,12,415,414,0,0,,,,,0,900000,,0,119,,,-1,420000,9,,,,92.0,,6.0,,,,,,,,,3,206,96.0,95,415,2,,62800471,2024-11-06 21:47:00.000,,62820030,2024-11-07 04:43:06.316,2024-11-07 04:42:57.364,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-07 04:42:00.000,1b7b41f7-77a4-40f3-8502-91bef6159bb5,
,,96.0,,51,51,13,0,16,418,401,0,0,,,,,0,840000,,540000,131,,,3,4320000,9,,,,83.0,2024-11-08 05:00:00.000,7.0,,2024-11-07 21:51:00.000,,,,,,,3,220,96.0,88,418,2,,62800471,2024-11-07 21:51:00.000,,62820030,2024-11-08 05:10:00.739,2024-11-08 05:09:43.878,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-08 04:49:30.000,7c99529d-bb68-44cf-9ca2-e083d17893d0,
,,95.0,,27,109,2,1,36,545,80,0,15,,,,,0,960000,,0,129,,,3,720000,9,,,,98.0,,12.0,,,,,,,,,4,271,93.0,89,545,2,,62800471,2024-11-08 22:20:00.000,,62820030,2024-11-09 07:25:56.031,2024-11-09 07:25:47.166,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-09 07:25:00.000,95531ab5-ecd4-489c-964d-42c92306461f,
,,96.0,,52,52,9,0,19,436,409,0,7,,,,,0,960000,,0,133,,,3,6600000,9,,,,84.0,,8.0,,,,,,,,,3,232,95.0,87,436,2,,62800471,2024-11-10 00:06:00.000,,62820030,2024-11-10 07:22:59.672,2024-11-10 07:22:48.428,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-10 07:22:00.000,4401d824-c2bb-4549-9d24-120150e16805,
,,94.0,,87,87,17,1,18,451,442,0,0,,,,,0,960000,,300000,111,,,3,1500000,9,,,,95.0,,8.0,,,,,,,,,4,235,96.0,94,451,2,,62800471,2024-11-10 21:19:00.000,,62820030,2024-11-11 04:56:09.335,2024-11-11 04:55:58.105,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-11 04:50:00.000,baff4e08-b4f1-48ee-8689-b664dd4f642b,
,,46.0,,44,61,3,0,13,307,171,0,0,,,,,0,1200000,,360000,25,,,3,3240000,9,,,,78.0,,6.0,,,,,,,,,1,208,95.0,64,307,2,,62800471,2024-11-11 23:44:00.000,,62820030,2024-11-12 04:57:26.624,2024-11-12 04:57:21.487,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-12 04:51:00.000,938264ff-8e5c-49cc-a010-57d20b38cc42,
,,92.0,,44,44,7,0,12,408,331,0,0,,,,,0,1200000,,480000,97,,,3,5040000,9,,,,78.0,,5.0,,,,,,,,,2,255,97.0,83,408,2,,62800471,2024-11-12 22:04:00.000,,62820030,2024-11-13 05:00:53.278,2024-11-13 05:00:44.195,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-13 04:52:00.000,672e7fbb-912c-452d-bdd4-f86c6904de1d,
